ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001065,0.000000185
4,0.000000972,0.000000299
8,0.000003419,0.000001404
16,0.000020867,0.000011227
32,0.000183305,0.000148865
64,0.000781779,0.000647024
128,0.006062075,0.005528527
256,0.045542676,0.043290172
512,0.379668898,0.370970160
1024,3.471665654,3.438273802
2048,63.448574451,63.318438722
4096,492.354028173,491.852049268
