ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001302,0.000000214
4,0.000001273,0.000000367
8,0.000004121,0.000001821
16,0.000025070,0.000014132
32,0.000140478,0.000103620
64,0.001436999,0.001272638
128,0.006591562,0.006035194
256,0.041767937,0.039454514
512,0.340138602,0.331307309
1024,2.602630169,2.569242780
2048,18.929159588,18.794996522
4096,148.776614082,148.250285811
