ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001030,0.000000168
4,0.000000972,0.000000278
8,0.000003314,0.000001198
16,0.000018349,0.000008590
32,0.000107791,0.000071049
64,0.000653266,0.000512960
128,0.004833670,0.004285990
256,0.034638093,0.032218716
512,0.245912264,0.236882283
1024,1.899888533,1.864869003
2048,15.298622773,15.159873717
4096,120.244798697,119.722992282
