ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001029,0.000000191
4,0.000000994,0.000000316
8,0.000003400,0.000001380
16,0.000021766,0.000012280
32,0.000115126,0.000081536
64,0.000833199,0.000701204
128,0.006518372,0.005978066
256,0.047325638,0.044916994
512,0.405896423,0.397208807
1024,4.141165875,4.107364994
2048,69.674867079,69.539248323
4096,647.964569909,647.452764024
