ProblemSize,AvgE2ETime,AvgAlgoTime
2,0.000001005,0.000000172
4,0.000000935,0.000000281
8,0.000003324,0.000001352
16,0.000019852,0.000011041
32,0.000123198,0.000087511
64,0.000785255,0.000646813
128,0.005814064,0.005294431
256,0.043266475,0.041040596
512,0.316875577,0.308415702
1024,2.793082629,2.760595680
2048,27.491500025,27.364982956
4096,236.247846106,235.747459163
