# Assignment 07 - Cluster Results
# Config: CONFIG_D  NX=500  NY=200  NUM_Points=20000000  Maxiter=10
# Speedup and Efficiency computed relative to T=1 (serial baseline)

environment,NX,NY,NUM_Points,Maxiter,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,total_algorithm_time_s,speedup,efficiency,voids
cluster_parallel,500,200,20000000,10,1,7.632883966,0.007590801,8.565728009,0.003363922,16.209566697,1.000000,1.000000,7
cluster_parallel,500,200,20000000,10,2,4.173843637,0.004731387,4.827381104,0.002462879,9.008419007,1.799380,0.899690,7
cluster_parallel,500,200,20000000,10,4,3.652835950,0.004867256,3.984640881,0.001928419,7.644272506,2.120485,0.530121,7
cluster_parallel,500,200,20000000,10,8,1.887589693,0.005906850,1.992916033,0.001649305,3.888061881,4.169061,0.521133,7
cluster_parallel,500,200,20000000,10,16,1.081725076,0.004097492,1.146311179,0.001529068,2.233662814,7.256944,0.453559,7
