# Assignment 07 - Cluster Results
# Config: CONFIG_E  NX=1000  NY=400  NUM_Points=14000000  Maxiter=10
# Speedup and Efficiency computed relative to T=1 (serial baseline)

environment,NX,NY,NUM_Points,Maxiter,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,total_algorithm_time_s,speedup,efficiency,voids
cluster_parallel,1000,400,14000000,10,1,10.096008793,0.032072112,12.424482316,0.013706431,22.566269651,1.000000,1.000000,0
cluster_parallel,1000,400,14000000,10,2,5.154395014,0.017477825,6.055135682,0.009817243,11.236825764,2.008242,1.004121,0
cluster_parallel,1000,400,14000000,10,4,4.626317888,0.013306677,4.587130800,0.005779862,9.232535228,2.444212,0.611053,0
cluster_parallel,1000,400,14000000,10,8,3.312585115,0.015628606,1.795561954,0.003624052,5.127399728,4.401114,0.550139,0
cluster_parallel,1000,400,14000000,10,16,1.870843172,0.007494763,0.763254926,0.007470176,2.649063036,8.518585,0.532412,0
