# Assignment 07 - Lab PC Results
# Config: CONFIG_C  NX=500  NY=200  NUM_Points=3600000  Maxiter=10
# Speedup and Efficiency computed relative to T=1 (serial baseline)

environment,NX,NY,NUM_Points,Maxiter,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,total_algorithm_time_s,speedup,efficiency,voids
labpc_parallel,500,200,3600000,10,1,0.403321000,0.002280000,0.457806000,0.001210000,0.864618000,1.000000,1.000000,0
labpc_parallel,500,200,3600000,10,2,0.208602000,0.001604000,0.228621000,0.000675000,0.439501000,1.967272,0.983636,0
labpc_parallel,500,200,3600000,10,4,0.120568000,0.000942000,0.123321000,0.000406000,0.245238000,3.525628,0.881407,0
labpc_parallel,500,200,3600000,10,8,0.130259000,0.000612000,0.120952000,0.000348000,0.252171000,3.428697,0.428587,0
labpc_parallel,500,200,3600000,10,16,0.143661000,0.002950000,0.112944000,0.001302000,0.260857000,3.314529,0.207158,0
