# Assignment 07 - Lab PC Results
# Config: CONFIG_E  NX=1000  NY=400  NUM_Points=14000000  Maxiter=10
# Speedup and Efficiency computed relative to T=1 (serial baseline)

environment,NX,NY,NUM_Points,Maxiter,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,total_algorithm_time_s,speedup,efficiency,voids
labpc_parallel,1000,400,14000000,10,1,2.051609000,0.008788000,2.106335000,0.004913000,4.171645000,1.000000,1.000000,1
labpc_parallel,1000,400,14000000,10,2,1.091240000,0.005777000,1.069973000,0.003026000,2.170016000,1.922403,0.961201,1
labpc_parallel,1000,400,14000000,10,4,0.676089000,0.003126000,0.596831000,0.001961000,1.278007000,3.264180,0.816045,1
labpc_parallel,1000,400,14000000,10,8,0.859194000,0.002532000,0.513268000,0.001956000,1.376950000,3.029627,0.378703,1
labpc_parallel,1000,400,14000000,10,16,2.116679000,0.004284000,0.429104000,0.002794000,2.552862000,1.634105,0.102132,1
