# Assignment 07 - Lab PC Results
# Config: CONFIG_D  NX=500  NY=200  NUM_Points=20000000  Maxiter=10
# Speedup and Efficiency computed relative to T=1 (serial baseline)

environment,NX,NY,NUM_Points,Maxiter,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,total_algorithm_time_s,speedup,efficiency,voids
labpc_parallel,500,200,20000000,10,1,2.208420000,0.002278000,2.480944000,0.001118000,4.692759000,1.000000,1.000000,6
labpc_parallel,500,200,20000000,10,2,1.158659000,0.001441000,1.312128000,0.000702000,2.472930000,1.897651,0.948826,6
labpc_parallel,500,200,20000000,10,4,0.604629000,0.000894000,0.679010000,0.000416000,1.284949000,3.652097,0.913024,6
labpc_parallel,500,200,20000000,10,8,0.592872000,0.000600000,0.653162000,0.001128000,1.247762000,3.760941,0.470118,6
labpc_parallel,500,200,20000000,10,16,0.493153000,0.003153000,0.554221000,0.001555000,1.052083000,4.460446,0.278778,6
