# Assignment 07 - Lab PC Results
# Config: CONFIG_B  NX=250  NY=100  NUM_Points=5000000  Maxiter=10
# Speedup and Efficiency computed relative to T=1 (serial baseline)

environment,NX,NY,NUM_Points,Maxiter,threads,interpolation_time_s,normalization_time_s,mover_time_s,denormalization_time_s,total_algorithm_time_s,speedup,efficiency,voids
labpc_parallel,250,100,5000000,10,1,0.556765000,0.000493000,0.616339000,0.000314000,1.173911000,1.000000,1.000000,7
labpc_parallel,250,100,5000000,10,2,0.283915000,0.000334000,0.311770000,0.000188000,0.596207000,1.968965,0.984483,7
labpc_parallel,250,100,5000000,10,4,0.149587000,0.000207000,0.165265000,0.000115000,0.315174000,3.724644,0.931161,7
labpc_parallel,250,100,5000000,10,8,0.147285000,0.000161000,0.162264000,0.000108000,0.309819000,3.789022,0.473628,7
labpc_parallel,250,100,5000000,10,16,0.133048000,0.001936000,0.136917000,0.001642000,0.273543000,4.291504,0.268219,7
